antecedent,consequent,support,confidence,lift,antecedent_size,consequent_size,antecedent_set,consequent_set,rule_type,cuisine_involved
parmesan romano,wheat gluten,0.011777301927194861,0.6145251396648045,17.715014828608872,1,1,frozenset({'parmesan romano'}),frozenset({'wheat gluten'}),ingredient_to_ingredient,
wheat gluten,parmesan romano,0.011777301927194861,0.3395061728395062,17.715014828608872,1,1,frozenset({'wheat gluten'}),frozenset({'parmesan romano'}),ingredient_to_ingredient,
lentil,"cuisine:indian, sugar",0.013169164882226981,0.5347826086956522,15.044787847040338,1,2,frozenset({'lentil'}),"frozenset({'sugar', 'cuisine:indian'})",ingredient_to_cuisine,indian
"cuisine:indian, sugar",lentil,0.013169164882226981,0.37048192771084343,15.044787847040338,2,1,"frozenset({'sugar', 'cuisine:indian'})",frozenset({'lentil'}),cuisine_to_ingredient,indian
"lentil, sugar",cuisine:indian,0.013169164882226981,0.7454545454545454,14.909090909090907,2,1,"frozenset({'lentil', 'sugar'})",frozenset({'cuisine:indian'}),ingredient_to_cuisine,indian
"chicken bouillon, twist",cuisine:korean,0.010385438972162741,0.7404580152671756,14.809160305343513,2,1,"frozenset({'chicken bouillon', 'twist'})",frozenset({'cuisine:korean'}),ingredient_to_cuisine,korean
lentil,cuisine:indian,0.018201284796573874,0.7391304347826086,14.782608695652174,1,1,frozenset({'lentil'}),frozenset({'cuisine:indian'}),ingredient_to_cuisine,indian
cuisine:indian,lentil,0.018201284796573874,0.3640256959314775,14.782608695652174,1,1,frozenset({'cuisine:indian'}),frozenset({'lentil'}),cuisine_to_ingredient,indian
"chicken, twist","cuisine:korean, pasta",0.011241970021413276,0.39772727272727276,13.267045454545455,2,2,"frozenset({'chicken', 'twist'})","frozenset({'pasta', 'cuisine:korean'})",ingredient_to_cuisine,korean
"cuisine:korean, pasta","chicken, twist",0.011241970021413276,0.375,13.267045454545455,2,2,"frozenset({'pasta', 'cuisine:korean'})","frozenset({'chicken', 'twist'})",cuisine_to_ingredient,korean
"cuisine:korean, twist",chicken bouillon,0.010385438972162741,0.377431906614786,12.07265071158254,2,1,"frozenset({'twist', 'cuisine:korean'})",frozenset({'chicken bouillon'}),cuisine_to_ingredient,korean
chicken bouillon,"cuisine:korean, twist",0.010385438972162741,0.3321917808219178,12.07265071158254,1,2,frozenset({'chicken bouillon'}),"frozenset({'twist', 'cuisine:korean'})",ingredient_to_cuisine,korean
"char, pasta",cuisine:chinese,0.012419700214132762,0.5714285714285714,11.428571428571427,2,1,"frozenset({'char', 'pasta'})",frozenset({'cuisine:chinese'}),ingredient_to_cuisine,chinese
"chicken, cuisine:korean","pasta, twist",0.011241970021413276,0.5097087378640777,11.308027581117543,2,2,"frozenset({'chicken', 'cuisine:korean'})","frozenset({'pasta', 'twist'})",cuisine_to_ingredient,korean
"chicken bouillon, cuisine:korean",twist,0.010385438972162741,0.7461538461538462,11.222346091911309,2,1,"frozenset({'chicken bouillon', 'cuisine:korean'})",frozenset({'twist'}),cuisine_to_ingredient,korean
juice,cuisine:italian,0.010920770877944325,0.5573770491803278,11.147540983606557,1,1,frozenset({'juice'}),frozenset({'cuisine:italian'}),ingredient_to_cuisine,italian
"semolina, sugar",cuisine:indian,0.011241970021413276,0.5412371134020618,10.824742268041236,2,1,"frozenset({'sugar', 'semolina'})",frozenset({'cuisine:indian'}),ingredient_to_cuisine,indian
"chicken, pasta, twist",cuisine:korean,0.011241970021413276,0.5384615384615384,10.769230769230768,3,1,"frozenset({'chicken', 'pasta', 'twist'})",frozenset({'cuisine:korean'}),ingredient_to_cuisine,korean
"chicken, cuisine:korean, pasta",twist,0.011241970021413276,0.7142857142857142,10.743041177823786,3,1,"frozenset({'chicken', 'pasta', 'cuisine:korean'})",frozenset({'twist'}),cuisine_to_ingredient,korean
